League,Date,Home,Away,Gols_H,Gols_A,Total_Gols,BTTS,Over_25,FTR,Placar
Super Lig,2024-08-12,Bodrumspor,Gaziantep,0.0,1.0,1.0,0,0,A,0.0 x 1.0
EFL Championship,2024-08-12,Luton,Burnley,1.0,4.0,5.0,1,1,A,1.0 x 4.0
LaLiga,2024-08-15,Ath Bilbao,Getafe,1.0,1.0,2.0,1,0,D,1.0 x 1.0
LaLiga,2024-08-15,Betis,Girona,1.0,1.0,2.0,1,0,D,1.0 x 1.0
LaLiga 2,2024-08-15,Granada,Albacete,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Eredivisie,2024-08-16,For Sittard,Almere City,3.0,0.0,3.0,0,1,H,3.0 x 0.0
Ligue 2,2024-08-16,Dunkerque,Annecy,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Ligue 2,2024-08-16,Grenoble,Laval,2.0,1.0,3.0,1,1,H,2.0 x 1.0
LaLiga,2024-08-16,Celta,Alaves,2.0,1.0,3.0,1,1,H,2.0 x 1.0
LaLiga 2,2024-08-16,Cadiz,Zaragoza,0.0,4.0,4.0,0,1,A,0.0 x 4.0
LaLiga 2,2024-08-16,Mirandes,Cordoba,1.0,0.0,1.0,0,0,H,1.0 x 0.0
LaLiga,2024-08-16,Las Palmas,Sevilla,2.0,2.0,4.0,1,1,D,2.0 x 2.0
Jupiler League,2024-08-16,St. Gilloise,Charleroi,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Super Lig,2024-08-16,Konyaspor,Galatasaray,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Ligue 2,2024-08-16,Guingamp,Troyes,4.0,0.0,4.0,0,1,H,4.0 x 0.0
Ligue 2,2024-08-16,Clermont,Pau FC,2.0,2.0,4.0,1,1,D,2.0 x 2.0
Ligue 2,2024-08-16,Amiens,Red Star,3.0,0.0,3.0,0,1,H,3.0 x 0.0
Ligue 2,2024-08-16,Ajaccio,Rodez,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Serie B,2024-08-16,Brescia,Palermo,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Primeira Liga,2024-08-16,Santa Clara,Porto,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Primeira Liga,2024-08-16,Gil Vicente,AVS,4.0,2.0,6.0,1,1,H,4.0 x 2.0
