Home,Away,Liga,Data,Hora,BTTS Liga,2.5FT Liga,Home Geral,Home Casa,Home Fora,Home PPJ Geral,Home PPJ Casa,Home PPJ Fora,Away Geral,Away Casa,Away Fora,Away PPG Geral,Away PPG Casa,Away PPG Fora,Vitoria Home Geral,Vitoria Home Casa,Vitoria Home Fora,Gols Home Geral,Gols Home Casa,Gols Home Fora,Marcados Home Geral,Marcados Home Casa,Marcados Home Fora,Sofridos Home Geral,Sofridos Home Casa,Sofridos Home Fora,BTTS Home Geral,BTTS Home Casa,BTTS Home Fora,Sem Sofrer Home Geral,Sem Sofrer Home Casa,Sem Sofrer Home Fora,Sem Marcar Home Geral,Sem Marcar Home Casa,Sem Marcar Home Fora,Primeiro Marcar Home Geral,Primeiro Marcar Home Casa,Primeiro Marcar Home Fora,xG Home Geral,xG Home Casa,xG Home Fora,xGA Home Geral,xGA Home Casa,xGA Home Fora,Vitoria Away Geral,Vitoria Away Casa,Vitoria Away Fora,Gols Away Geral,Gols Away Casa,Gols Away Fora,Marcados Away Geral,Marcados Away Casa,Marcados Away Fora,Sofridos Away Geral,Sofridos Away Casa,Sofridos Away Fora,BTTS Away Geral,BTTS Away Casa,BTTS Away Fora,Sem Sofrer Away Geral,Sem Sofrer Away Casa,Sem Sofrer Away Fora,Sem Marcar Away Geral,Sem Marcar Away Casa,Sem Marcar Away Fora,Primeiro Marcar Away Geral,Primeiro Marcar Away Casa,Primeiro Marcar Away Fora,xG Away Geral,xG Away Casa,xG Away Fora,xGA Away Geral,xGA Away Casa,xGA Away Fora
Defensores de Cambaceres,Juventud Unida,Argentina - Primera C,"Ter, 13 Agosto 2024",15:00,45%,38%,E V E E D,V E V V V,E E D E D,1.37,1.6,1.13,D E D E E,D D E E D,E E D D E,0.6,0.6,0.6,30%,33%,27%,1.8,1.8,1.8,0.87,1,0.73,0.93,0.8,1.07,43%,47%,40%,37%,47%,27%,43%,40%,47%,33%,40%,27%,1.34,1.42,1.26,1.37,1.22,1.52,7%,7%,7%,1.97,2.07,1.87,0.57,0.6,0.53,1.4,1.33,1.33,47%,47%,47%,17%,20%,13%,50%,53%,47%,23%,27%,20%,1.24,1.27,1.21,1.23,1.17,1.29
Defensa y Justicia Res.,Talleres Córdoba Res.,Argentina -  de Reservas,"Ter, 13 Agosto 2024",15:00,43%,38%,D E D D V,E D V V V,D D E V V,1.53,1.8,1.22,V V E D V,V E V E V,V D D V D,1.68,2,1.33,42%,50%,33%,1.84,2,1.67,0.95,1.3,0.56,0.89,0.7,1.11,32%,40%,22%,53%,50%,56%,32%,20%,44%,53%,60%,44%,1.27,1.43,1.08,1.81,1.69,1.93,47%,50%,44%,2.05,2.2,1.89,1.21,1.5,0.89,0.84,1,1,37%,50%,22%,47%,50%,44%,21%,10%,33%,58%,60%,56%,1.65,1.86,1.41,1.18,1.12,1.26
Botev Plovdiv,Ludogorets,Bulgária - Campeonato Búlgaro,"Ter, 13 Agosto 2024",15:15,42%,50%,V E V,E,V V,2.33,1,3,V V,V V,,3,3,0,67%,0%,100%,3,4,2.5,2,2,2,1,2,0.5,67%,100%,50%,33%,0%,50%,0%,0%,0%,100%,100%,100%,1.78,1.88,1.74,1.23,1.42,1.14,100%,100%,0%,3.5,3.5,0,3,3,0,0.5,0,0,50%,50%,0%,50%,50%,0%,0%,0%,0%,100%,100%,0%,1.07,1.57,0,0.47,0.97,0
FCSB,Sparta Praga,Europa -  dos Campeões,"Ter, 13 Agosto 2024",15:30,47%,56%,E V E V V,E V,E V V,2.2,2,2.33,E V V,E V,V,2.33,2,3,60%,50%,67%,3.4,3,3.67,2.8,2.5,3,0.6,0.5,0.67,60%,50%,67%,40%,50%,33%,0%,0%,0%,80%,50%,100%,1.82,2.21,1.56,0.86,0.63,1.02,67%,50%,100%,3.33,4,2,2.33,2.5,2,1,0,0,67%,100%,0%,33%,0%,100%,0%,0%,0%,67%,50%,100%,2.04,1.62,2.87,0.94,0.92,1
Carlisle United,Stoke City,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:30,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Stockport County,Blackburn,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:30,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Union Saint-Gilloise,Slavia Praga,Europa -  dos Campeões,"Ter, 13 Agosto 2024",15:30,47%,56%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,4,0,4,1,0,1,3,0,3,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.1,0,1.1,0.59,0,1.59,100%,100%,0%,4,4,0,3,3,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0.59,1.59,0,0.1,1.1,0
Leyton Orient,Newport County,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:30,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
United of Manchester,Worksop Town,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,V,,V,3,0,3,D,D,,0,0,0,100%,0%,100%,1,0,1,1,0,1,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,1,1,0,0,0,0,1,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0.41,1.41,0,0.33,1.33,0
Macclesfield,Prescot Cables,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,V,,V,3,0,3,E,E,,1,1,0,100%,0%,100%,1,0,1,1,0,1,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,0.33,0,1.33,0.41,0,1.41,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,100%,100%,0%,100%,100%,0%,0%,0%,0%,,,,,,
Blyth Spartans,Hebburn Town,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,E,,E,1,0,1,V,V,,3,3,0,0%,0%,0%,4,0,4,2,0,2,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,,,,,,,100%,100%,0%,1,1,0,1,1,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Matlock Town,Whitby Town,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,E,,E,1,0,1,D,D,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,100%,0%,100%,100%,0%,100%,0%,0%,0%,,,,,,,0%,0%,0%,3,3,0,1,1,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0.6,1.6,0,1.31,2.31,0
Mickleover Sports,Ilkeston Town,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,E,,E,1,0,1,E,E,,1,1,0,0%,0%,0%,2,0,2,1,0,1,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-0.57,0,0.43,-0.44,0,0.56,0%,0%,0%,4,4,0,2,2,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Rylands,Ashton United,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,D,,D,0,0,0,E,E,,1,1,0,0%,0%,0%,1,0,1,0,0,0,1,0,1,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,0%,0%,0%,4,4,0,2,2,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Gainsborough Trinity,Morpeth Town,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,E,,E,1,0,1,D,D,,0,0,0,0%,0%,0%,4,0,4,2,0,2,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,1,1,0,0,0,0,1,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,,,,,,
Basford United,Leek Town,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,D,,D,0,0,0,D,D,,0,0,0,0%,0%,0%,5,0,5,2,0,2,3,0,3,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,2,2,0,0,0,0,2,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,,,,,,
Bromsgrove Sporting,Stratford Town,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,V,,V,3,0,3,V,V,,3,3,0,100%,0%,100%,4,0,4,3,0,3,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,,,,,,,100%,100%,0%,3,3,0,3,3,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Stamford,Hitchin Town,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,V,,V,3,0,3,D,D,,0,0,0,100%,0%,100%,1,0,1,1,0,1,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,4,4,0,1,1,0,3,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Leiston,Bishop's Stortford,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,3,0,3,0,0,0,3,0,3,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,3,3,0,2,2,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Kettering Town,Spalding United,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,0%,1,1,0,1,1,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Bedford Town,Royston Town,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,1,0,1,0,0,0,1,0,1,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,5,5,0,3,3,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Alvechurch,Harborough Town,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,D,,D,0,0,0,D,D,,0,0,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,1,1,0,0,0,0,1,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,,,,,,
Workington,Lancaster City,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,2,0,2,0,0,0,2,0,2,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,5,5,0,3,3,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
AFC Telford United,Stourbridge,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,E,,E,1,0,1,V,V,,3,3,0,0%,0%,0%,2,0,2,1,0,1,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,,,,,,,100%,100%,0%,1,1,0,1,1,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
AFC Sudbury,Biggleswade Town,Inglaterra - Southern League Premier Central,"Ter, 13 Agosto 2024",15:45,55%,45%,E,,E,1,0,1,E,E,,1,1,0,0%,0%,0%,2,0,2,1,0,1,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,2,2,0,1,1,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Bamber Bridge,Hyde United,Inglaterra - Northern Premier League,"Ter, 13 Agosto 2024",15:45,45%,36%,V,,V,3,0,3,E,E,,1,1,0,100%,0%,100%,3,0,3,2,0,2,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.31,0,2.31,0.6,0,1.6,0%,0%,0%,2,2,0,1,1,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,-0.44,0.56,0,-0.57,0.43,0
Bognor Regis Town,Lewes,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,5,0,5,2,0,2,3,0,3,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,0%,2,2,0,2,2,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,-0.36,0.64,0,-0.02,0.98,0
Barton Rovers,Real Bedford,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,5,0,5,0,0,0,5,0,5,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,2,2,0,2,2,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Canvey Island,Hashtag United,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,D,,D,0,0,0,D,D,,0,0,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0.17,0,1.17,1.19,0,2.19,0%,0%,0%,2,2,0,0,0,0,2,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,,,,,,
Beaconsfield Town,Kidlington,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,D,,D,0,0,0,D,D,,0,0,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,1,1,0,0,0,0,1,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,,,,,,
Walton & Hersham,Marlow,Inglaterra - Southern League Premier South,"Ter, 13 Agosto 2024",15:45,55%,45%,D,,D,0,0,0,E,E,,1,1,0,0%,0%,0%,1,0,1,0,0,0,1,0,1,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,0%,0%,0%,2,2,0,1,1,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
AFC Dunstable,Northwood,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,6,0,6,0,0,0,6,0,6,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,3,3,0,2,2,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Aylesbury United,Leverstock Green FC,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,E,,E,1,0,1,D,D,,0,0,0,0%,0%,0%,2,0,2,1,0,1,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,4,4,0,1,1,0,3,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Thame United,Berkhamsted,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,V,,V,3,0,3,V,V,,3,3,0,100%,0%,100%,5,0,5,3,0,3,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,0%,4,4,0,4,4,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Stotfold,Ware,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,D,,D,0,0,0,D,D,,0,0,0,0%,0%,0%,4,0,4,0,0,0,4,0,4,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,0%,0%,0%,5,5,0,2,2,0,3,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
North Leigh,Flackwell Heath,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,0%,6,6,0,6,6,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Leighton Town,Biggleswade,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,,,,0,0,0,E,E,,1,1,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,2,2,0,1,1,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Kings Langley,Enfield 1893,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,V,,V,3,0,3,V,V,,3,3,0,100%,0%,100%,1,0,1,1,0,1,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,0%,3,3,0,2,2,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Hertford Town,Hadley,Inglaterra - Southern League Division One Central,"Ter, 13 Agosto 2024",15:45,50%,70%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,2,0,2,0,0,0,2,0,2,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,5,5,0,5,5,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Whitehawk,Hastings United,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,3,0,3,0,0,0,3,0,3,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,2,2,0,2,2,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Horsham,Chichester City,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,2,0,2,0,0,0,2,0,2,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,100%,100%,0%,3,3,0,2,2,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.19,2.19,0,0.17,1.17,0
Dulwich Hamlet,Hendon,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,5,0,5,2,0,2,3,0,3,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,0%,3,3,0,2,2,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.53,1.53,0,-0.04,0.96,0
Dover Athletic,Folkestone Invicta,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,V,,V,3,0,3,E,E,,1,1,0,100%,0%,100%,8,0,8,8,0,8,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,2,2,0,1,1,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Dartford,Potters Bar Town,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,V,,V,3,0,3,D,D,,0,0,0,100%,0%,100%,3,0,3,2,0,2,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,8,8,0,0,0,0,8,0,0,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,,,,,,
Cray Wanderers,Cray Valley PM,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,V,,V,3,0,3,D,D,,0,0,0,100%,0%,100%,2,0,2,2,0,2,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,,,,,,,0%,0%,0%,3,3,0,1,1,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Chatham Town,Billericay Town,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,2,0,2,0,0,0,2,0,2,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,-0.02,0,0.98,-0.36,0,0.64,100%,100%,0%,3,3,0,3,3,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Bowers & Pitsea,Cheshunt,Inglaterra - Isthmian Premier Division,"Ter, 13 Agosto 2024",15:45,55%,64%,D,,D,0,0,0,V,V,,3,3,0,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,-0.04,0,0.96,0.53,0,1.53,100%,100%,0%,5,5,0,3,3,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Tiverton Town,Dorchester Town,Inglaterra - Southern League Premier South,"Ter, 13 Agosto 2024",15:45,55%,45%,D,,D,0,0,0,E,E,,1,1,0,0%,0%,0%,6,0,6,0,0,0,6,0,6,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,,,,,,,0%,0%,0%,2,2,0,1,1,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Northampton Town,Wycombe Wanderers,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Poole Town,Taunton Town,Inglaterra - Southern League Premier South,"Ter, 13 Agosto 2024",15:45,55%,45%,E,,E,1,0,1,E,E,,1,1,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,100%,0%,100%,100%,0%,100%,0%,0%,0%,,,,,,,0%,0%,0%,6,6,0,3,3,0,3,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Preston,Sunderland,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Derby County,Chesterfield,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Tranmere Rovers,Accrington Stanley,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Barrow,Port Vale,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Sholing,AFC Totton,Inglaterra - Southern League Premier South,"Ter, 13 Agosto 2024",15:45,55%,45%,V,,V,3,0,3,V,V,,3,3,0,100%,0%,100%,3,0,3,2,0,2,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,0%,1,1,0,1,1,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,,,,,,
Salford City,Doncaster Rovers,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Colchester United,Reading,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Grimsby Town,Bradford City,Inglaterra - Copa da  Inglesa,"Ter, 13 Agosto 2024",15:45,0%,0%,,,,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
