home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
San Luis,Rangers,Chile - 2ª Divisão do Chile,"Seg, 05 Agosto 2024",21:30,52%,53%,D E D D D,D D D V V,D E D D D,V E D D E,V D D D D,E E V V V,1.05,1.11,1,1.67,1.11,2.22,32%,33%,30%,2.89,2.78,3,1.11,1.11,1.1,1.79,1.67,1.9,37%,44%,30%,21%,22%,20%,47%,33%,60%,32%,44%,20%,1.38,1.53,1.24,1.67,1.52,1.81,50%,33%,67%,2.61,3.22,2,1.5,1.67,1.33,1.11,0.67,0.67,50%,56%,44%,50%,44%,56%,11%,11%,11%,72%,56%,89%,1.57,1.67,1.46,1.61,1.35,1.87
Atlético Nacional,Rionegro Águilas,Colômbia - Campeonato Colombiano,"Seg, 05 Agosto 2024",22:00,41%,37%,D D V V V,D V V D D,D V V E E,V D D E V,V D E V D,D V D V D,1.38,1.55,1.23,1.27,1.36,1.18,38%,45%,31%,2.17,2,2.31,1.13,1.18,1.08,1.04,0.82,1.23,42%,45%,38%,38%,27%,46%,38%,36%,38%,42%,45%,38%,1.61,1.87,1.4,1.16,1,1.3,36%,36%,36%,2.18,2.45,1.91,1.09,1.27,0.91,1.09,1,1,41%,45%,36%,27%,27%,27%,36%,27%,45%,45%,45%,45%,1.19,1.4,0.99,1.23,1.19,1.28
Atlético,Bogotá,Colômbia - 2ª Divisão da Colômbia,"Seg, 05 Agosto 2024",17:00,45%,44%,E D D D D,E D D D D,D D D D V,D D D V E,D V E D D,D D E E D,0.33,0.11,0.56,0.78,1,0.56,6%,0%,11%,2.5,2.67,2.33,0.39,0.33,0.44,2.11,2.33,1.89,22%,22%,22%,6%,0%,11%,72%,78%,67%,6%,0%,11%,1.3,1.3,1.29,1.54,1.67,1.41,17%,22%,11%,2.89,2.56,3.22,0.89,1.11,0.67,2,2.56,2.56,44%,56%,33%,11%,11%,11%,50%,33%,67%,28%,44%,11%,1.32,1.52,1.12,1.76,1.63,1.89
Real Soacha,Deportes Quindío,Colômbia - 2ª Divisão da Colômbia,"Seg, 05 Agosto 2024",19:30,45%,44%,V V D V D,V V D E D,V D E D E,V D D V E,V V D E E,D D E D E,1.39,2.11,0.67,1.38,2.08,0.67,39%,67%,11%,3.22,3.56,2.89,1.72,2.22,1.22,1.5,1.33,1.67,67%,67%,67%,22%,33%,11%,11%,0%,22%,67%,78%,56%,1.57,1.84,1.26,1.53,1.34,1.74,33%,58%,8%,2.25,2.5,2,1.21,1.67,0.75,1.04,1.25,1.25,54%,67%,42%,29%,33%,25%,25%,0%,50%,46%,50%,42%,1.65,1.82,1.49,1.3,1.11,1.48
Vejle,Nordsjælland,Dinamarca - Campeonato Dinamarquês,"Seg, 05 Agosto 2024",14:00,64%,64%,D D,D,D,E V,E V,,0,0,0,2,2,0,0%,0%,0%,4,5,3,1.5,2,1,2.5,3,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,100%,1.24,1.07,1.4,1.36,1.19,1.53,50%,50%,0%,3.5,3.5,0,2.5,2.5,0,1,0,0,50%,50%,0%,50%,50%,0%,0%,0%,0%,50%,50%,0%,0.94,1.44,0,0.72,1.22,0
Zamalek,Enppi,Egito - Campeonato Egípcio,"Seg, 05 Agosto 2024",15:00,50%,43%,V D E V E,V E E V V,D V V E D,E D D E E,D E V V D,E D E E E,1.73,2.07,1.4,1.39,1.44,1.33,50%,60%,40%,2.5,2.53,2.47,1.5,1.73,1.27,1,0.8,1.2,60%,60%,60%,30%,40%,20%,17%,7%,27%,57%,80%,33%,1.58,1.54,1.62,1.38,1.27,1.49,35%,38%,33%,2.16,2.25,2.07,1.13,1.19,1.07,1.03,1,1,42%,50%,33%,39%,38%,40%,39%,31%,47%,35%,44%,27%,1.38,1.33,1.43,1.4,1.42,1.37
Cumbayá,Técnico Universitario,Equador - Campeonato Equatoriano,"Seg, 05 Agosto 2024",21:00,46%,45%,V D D D V,V D V E V,D D D D D,D D V D E,D V E V E,D D D V D,0.93,1.86,0.13,1.07,1.63,0.43,27%,57%,0%,1.8,1.57,2,0.53,0.86,0.25,1.27,0.71,1.75,27%,29%,25%,33%,57%,13%,53%,29%,75%,33%,57%,13%,0.98,1.07,0.9,1.5,1.42,1.58,27%,38%,14%,2.33,2,2.71,0.93,1.13,0.71,1.4,2,2,60%,75%,43%,13%,25%,0%,27%,0%,57%,40%,63%,14%,1.19,1.45,0.89,1.38,1.24,1.54
St. Johnstone,Aberdeen,Escócia - Campeonato Escocês,"Seg, 05 Agosto 2024",16:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Olimpija,Nafta,Eslovênia - Campeonato da Eslovênia,"Seg, 05 Agosto 2024",15:15,40%,50%,V V,V,V,V D,V,D,3,3,3,1.5,3,0,100%,100%,100%,1.5,2,1,1.5,2,1,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.51,1.3,1.73,0.89,1.07,0.7,50%,100%,0%,2,3,1,1,2,0,1,1,1,50%,100%,0%,0%,0%,0%,50%,0%,100%,0%,0%,0%,1.55,1.76,1.33,1.53,1.34,1.72
Torpedo Kutaisi,Samtredia,Geórgia - Campeonato da Geórgia,"Seg, 05 Agosto 2024",14:00,48%,47%,V V V V V,V V V E V,V V E E E,E E E D E,E E E D E,E D D D D,1.94,2.44,1.44,0.61,0.89,0.33,56%,78%,33%,2.83,2.78,2.89,1.78,1.89,1.67,1.06,0.89,1.22,56%,56%,56%,39%,44%,33%,22%,11%,33%,50%,56%,44%,1.9,2,1.81,1.67,1.55,1.78,6%,11%,0%,2.5,2,3,0.72,0.78,0.67,1.78,2.33,2.33,50%,44%,56%,28%,44%,11%,44%,44%,44%,22%,22%,22%,0.99,1.17,0.8,2.1,2.02,2.18
HB,Skála,Ilhas Faroé - Campeonato das Ilhas Faroé,"Seg, 05 Agosto 2024",14:30,47%,67%,D D V V V,V V V V V,D D V V V,E D D D V,E D D V D,D D V E D,2.44,3,1.88,0.88,1,0.67,81%,100%,63%,2.88,2.88,2.88,2.13,2.38,1.88,0.75,0.5,1,38%,38%,38%,50%,63%,38%,13%,0%,25%,75%,100%,50%,1.94,1.84,2.04,1.64,1.67,1.61,25%,30%,17%,3.19,3.3,3,1.13,1.3,0.83,2.06,2.17,2.17,63%,60%,67%,6%,10%,0%,31%,30%,33%,38%,40%,33%,1.39,1.47,1.27,1.84,1.92,1.71
EB - Streymur,B36,Ilhas Faroé - Campeonato das Ilhas Faroé,"Seg, 05 Agosto 2024",14:30,47%,67%,V D D D D,D V D D V,V D D D D,D V V E E,V E E V E,D V E D D,0.63,1.17,0.3,1.44,1.86,1.11,19%,33%,10%,2.88,3,2.8,0.88,1.83,0.3,2,1.17,2.5,25%,50%,10%,19%,33%,10%,56%,17%,80%,25%,50%,10%,1.52,1.43,1.57,2.02,1.65,2.25,38%,43%,33%,3.88,3.71,4,2.06,2.29,1.89,1.81,2.11,2.11,63%,57%,67%,25%,43%,11%,13%,0%,22%,56%,71%,44%,2.05,2.23,1.91,1.59,1.2,1.89
ÍF,Víkingur,Ilhas Faroé - Campeonato das Ilhas Faroé,"Seg, 05 Agosto 2024",14:30,47%,67%,D D D D D,D D D E D,D D D E E,V V V V V,V V V V V,V V D V V,0.19,0.13,0.25,2.81,3,2.57,0%,0%,0%,3.88,4.25,3.5,0.88,1.13,0.63,3,3.13,2.88,44%,63%,25%,6%,0%,13%,56%,38%,75%,13%,13%,13%,1.2,1.3,1.09,1.9,1.83,1.97,94%,100%,86%,3.38,3.22,3.57,2.94,2.89,3,0.44,0.57,0.57,38%,33%,43%,63%,67%,57%,0%,0%,0%,88%,89%,86%,2.15,2.31,1.94,1.27,1.25,1.3
Marrocos Sub-23,Espanha Sub-23,Internacional - Olimpíadas,"Seg, 05 Agosto 2024",13:00,44%,63%,V V D V,V V,D V,V D V V,D,V V V,2.25,3,1.5,2.25,0,3,75%,100%,50%,3.25,3.5,3,2.5,3.5,1.5,0.75,0,1.5,50%,0%,100%,50%,100%,0%,0%,0%,0%,75%,100%,50%,1.52,1.74,1.31,1.1,0.73,1.48,75%,0%,100%,3.25,3,3.33,2.25,1,2.67,1,0.67,0.67,75%,100%,67%,25%,0%,33%,0%,0%,0%,75%,0%,100%,1.87,2.13,1.78,1.26,2.03,1
França Sub-23,Egito Sub-23,Internacional - Olimpíadas,"Seg, 05 Agosto 2024",16:00,44%,63%,V V V V,V V V,V,V V E,E,V V,3,3,3,2.33,1,3,100%,100%,100%,2,1.67,3,2,1.67,3,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.65,1.34,2.58,1.12,1.25,0.72,67%,0%,100%,1.33,0,2,1,0,1.5,0.33,0.5,0.5,33%,0%,50%,67%,100%,50%,33%,100%,0%,67%,0%,100%,1.44,1.32,1.51,1.56,1.14,1.77
França Sub-23,Egito Sub-23,Internacional - Olimpíadas,"Seg, 05 Agosto 2024",16:00,44%,63%,V V V V,V V V,V,V V E,E,V V,3,3,3,2.33,1,3,100%,100%,100%,2,1.67,3,2,1.67,3,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.65,1.34,2.58,1.12,1.25,0.72,67%,0%,100%,1.33,0,2,1,0,1.5,0.33,0.5,0.5,33%,0%,50%,67%,100%,50%,33%,100%,0%,67%,0%,100%,1.44,1.32,1.51,1.56,1.14,1.77
Shelbourne,Derry City,Irlanda - Campeonato Irlandês,"Seg, 05 Agosto 2024",15:45,45%,42%,E V V V D,V V D V E,E V V V E,D V V V V,V V V E V,D V E D V,1.96,2,1.92,1.76,2.23,1.25,54%,58%,50%,1.79,1.67,1.92,1.17,1.08,1.25,0.63,0.58,0.67,46%,42%,50%,50%,58%,42%,17%,17%,17%,58%,58%,58%,1.18,1.33,1.04,1.2,1.09,1.31,48%,69%,25%,2.48,3.15,1.75,1.6,2.23,0.92,0.88,0.83,0.83,52%,62%,42%,40%,31%,50%,24%,8%,42%,48%,69%,25%,1.48,1.55,1.41,1.01,0.99,1.04
FH,Víkingur Reykjavík,Islândia - Campeonato Islandês,"Seg, 05 Agosto 2024",16:15,67%,64%,V E V E V,E V E V V,V D E D V,V D V V E,V V E V V,D V E E V,1.75,1.88,1.63,2.25,2.75,1.75,50%,50%,50%,3.31,3.38,3.25,1.81,2,1.63,1.5,1.38,1.63,69%,88%,50%,19%,13%,25%,13%,0%,25%,69%,63%,75%,1.86,2.01,1.71,1.48,1.48,1.48,69%,88%,50%,3.44,4.13,2.75,2.44,3.13,1.75,1,1,1,63%,75%,50%,31%,25%,38%,6%,0%,13%,69%,75%,63%,2.03,2.23,1.82,1.42,1.56,1.27
TransINVEST Vilnius,Žalgiris,Lituânia - Campeonato da Lituânia,"Seg, 05 Agosto 2024",13:00,39%,41%,E D V D V,E V V V D,D D D V D,D D V V V,V V V E V,D D V V V,1,1.08,0.91,2.23,2.3,2.17,30%,33%,27%,2.48,2.92,2,1,1.33,0.64,1.48,1.58,1.36,39%,50%,27%,17%,17%,18%,43%,33%,55%,26%,17%,36%,1.57,1.76,1.37,1.58,1.61,1.54,68%,70%,67%,2.95,3.5,2.5,2.09,2.5,1.75,0.86,0.75,0.75,50%,50%,50%,45%,50%,42%,9%,0%,17%,64%,80%,50%,2.01,2.12,1.91,1.27,1.3,1.24
Cruz Azul Women,Pachuca Women,México - Campeonato Mexicano Feminino,"Seg, 05 Agosto 2024",18:45,33%,46%,E V V,E V,V,V V,V,V,2.33,2,3,3,3,3,67%,50%,100%,3,1.5,6,2.33,1,5,0.67,0.5,1,67%,50%,100%,33%,50%,0%,33%,50%,0%,67%,50%,100%,1.52,1.28,2.02,0.98,1.08,0.8,100%,100%,100%,4.5,4,5,4,3,5,0.5,0,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,100%,100%,100%,2.17,2.28,2.04,0.47,0.72,0.21
Necaxa Women,Monterrey Women,México - Campeonato Mexicano Feminino,"Seg, 05 Agosto 2024",21:00,33%,46%,V D D,V D,D,V V,V,V,1,1.5,0,3,3,3,33%,50%,0%,3,3,3,0.33,0.5,0,2.67,2.5,3,0%,0%,0%,33%,50%,0%,67%,50%,100%,33%,50%,0%,0.64,0.7,0.52,1.53,1.61,1.37,100%,100%,100%,3,5,1,3,5,1,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.87,1.5,2.23,0.97,1.33,0.61
Sporting San Miguelito,Árabe Unido,Panamá - Campeonato do Panamá,"Seg, 05 Agosto 2024",22:30,53%,44%,E V V E V,V V E D V,E V V E V,V V D E D,V E D D D,V D D D D,1.39,1.5,1.3,0.78,0.89,0.67,33%,38%,30%,2.28,2.88,1.8,1.22,1.5,1,1.06,1.38,0.8,61%,75%,50%,17%,13%,20%,22%,13%,30%,61%,63%,60%,1.4,1.38,1.41,1.2,1.46,1,17%,22%,11%,2.61,2.22,3,0.94,0.78,1.11,1.67,1.89,1.89,39%,33%,44%,22%,22%,22%,50%,56%,44%,33%,22%,44%,1.3,1.13,1.47,1.23,1.17,1.28
Rubio Ñú,Sportivo Carapeguá,Paraguai - 2ª Divisão do Paraguai,"Seg, 05 Agosto 2024",17:15,49%,41%,D D E V V,D V E V E,D E V E V,V E D D E,V E E V V,E D D V E,1.17,1.33,1,1.78,2,1.56,28%,33%,22%,2.67,2.56,2.78,1.17,1.11,1.22,1.5,1.44,1.56,56%,56%,56%,22%,22%,22%,33%,33%,33%,33%,22%,44%,1.33,1.23,1.39,1.29,1,1.49,50%,56%,44%,2.17,2.44,1.89,1.33,1.56,1.11,0.83,0.78,0.78,44%,56%,33%,44%,44%,44%,28%,11%,44%,39%,44%,33%,1.51,1.66,1.36,1.23,1.18,1.28
Encarnación,Martín Ledesma,Paraguai - 2ª Divisão do Paraguai,"Seg, 05 Agosto 2024",19:30,49%,41%,V V V E D,V V E D V,V D E D D,E E D V V,E D V E E,E V E D V,1.67,1.89,1.44,1.28,1.33,1.22,50%,56%,44%,2.83,2.56,3.11,1.61,1.78,1.44,1.22,0.78,1.67,67%,44%,89%,17%,33%,0%,28%,44%,11%,56%,56%,56%,1.21,1.1,1.39,1.15,0.99,1.45,28%,33%,22%,2.33,2.33,2.33,1.06,1.11,1,1.28,1.33,1.33,50%,22%,78%,33%,56%,11%,28%,44%,11%,44%,44%,44%,1.17,1.25,1.09,1.6,1.61,1.59
Alianza Atlético,Sport Huancayo,Peru - Campeonato Peruano,"Seg, 05 Agosto 2024",15:00,46%,51%,E V D E E,V E E D D,E D D D E,V D V D E,V V E D V,D D D E D,0.9,1.5,0.36,1.19,1.82,0.5,19%,40%,0%,1.81,1.9,1.73,0.71,1.2,0.27,1.1,0.7,1.45,29%,30%,27%,33%,50%,18%,57%,40%,73%,24%,50%,0%,1.1,1.32,0.9,1.18,0.95,1.38,33%,55%,10%,2.62,2.09,3.2,1,1.27,0.7,1.62,2.5,2.5,33%,27%,40%,38%,55%,20%,33%,18%,50%,38%,64%,10%,1.33,1.64,0.98,1.46,1.11,1.84
Cusco FC,Sport Boys,Peru - Campeonato Peruano,"Seg, 05 Agosto 2024",20:00,46%,51%,V V D D V,V D V V V,V D D D D,V D D V V,V V V E E,D D V D D,1.67,2.5,0.91,1.19,1.91,0.4,52%,80%,27%,2.57,2.5,2.64,1.33,1.9,0.82,1.24,0.6,1.82,24%,20%,27%,43%,70%,18%,33%,10%,55%,57%,90%,27%,1.21,1.34,1.09,1.44,1,1.84,33%,55%,10%,2.33,2,2.7,1.05,1.36,0.7,1.29,2,2,33%,36%,30%,38%,64%,10%,43%,18%,70%,43%,64%,20%,1.22,1.42,1.02,1.31,1.12,1.5
Cracovia Kraków,Widzew Łódź,Polônia - Campeonato Polonês,"Seg, 05 Agosto 2024",14:00,39%,30%,V E,E,V,V E,V,E,2,1,3,2,3,1,50%,0%,100%,1.5,2,1,1,1,1,0.5,1,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,50%,0%,100%,0.77,0.72,0.81,2.22,2.26,2.17,50%,100%,0%,2.5,3,2,1.5,2,1,1,1,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.45,1.4,1.51,1.59,1.77,1.41
ŁKS Łódź,Górnik Łęczna,Polônia - 2ª Divisão da Polônia,"Seg, 05 Agosto 2024",15:30,50%,50%,D,,D,V V,V,V,0,0,0,3,3,3,0%,0%,0%,3,0,3,1,0,1,2,0,2,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.2,0,1.2,1.14,0,2.14,100%,100%,100%,2,3,1,1.5,2,1,0.5,0,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,100%,100%,100%,0.96,0.81,1.1,2.13,2.76,1.5
Lusitânia,Associação Académica de Coimbra OAF,Portugal - 3ª Divisão de Portugal,"Seg, 05 Agosto 2024",09:30,40%,40%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Zlín,Sigma Olomouc II,República Tcheca - 2ª Divisão da República Tcheca,"Seg, 05 Agosto 2024",12:30,54%,46%,V V E,V,V E,E E D,E E,D,2.33,3,2,0.67,1,0,67%,100%,50%,1,1,1,1,1,1,0,0,0,0%,0%,0%,100%,100%,100%,33%,0%,50%,67%,100%,50%,1.23,1.02,1.33,1.36,0.75,1.67,0%,0%,0%,1.67,1,3,0.33,0.5,0,1.33,3,3,33%,50%,0%,33%,50%,0%,67%,50%,100%,0%,0%,0%,1.22,1.28,1.12,0.92,0.5,1.78
Unirea Slobozia,UTA Arad,Romênia - Campeonato Romeno,"Seg, 05 Agosto 2024",13:00,54%,38%,E E V,E,E V,E D E,E E,D,1.67,1,2,0.67,1,0,33%,0%,50%,2.33,4,1.5,1.33,2,1,1,2,0.5,67%,100%,50%,33%,0%,50%,0%,0%,0%,33%,0%,50%,1.36,1,1.54,1.59,1.17,1.8,0%,0%,0%,2.67,1,6,1,0.5,2,1.67,4,4,67%,50%,100%,33%,50%,0%,33%,50%,0%,0%,0%,0%,1.39,1.51,1.13,1.7,1.51,2.09
Rapid Bucureşti,Sepsi,Romênia - Campeonato Romeno,"Seg, 05 Agosto 2024",16:00,54%,38%,D E E,E,D E,E V V,E V,V,0.67,1,0.5,2.33,2,3,0%,0%,0%,2.33,4,1.5,1,2,0.5,1.33,2,1,67%,100%,50%,0%,0%,0%,33%,0%,50%,33%,0%,50%,1.67,1.69,1.66,1.2,1.23,1.18,67%,50%,100%,2,1.5,3,1.33,1,2,0.67,1,1,67%,50%,100%,33%,50%,0%,0%,0%,0%,100%,100%,100%,1.55,1.45,1.75,1.48,1.38,1.67
Spartak Moscou,Krylya Sovetov,Rússia - Campeonato Russo,"Seg, 05 Agosto 2024",14:00,50%,56%,V D,,V D,D D,D D,,1.5,0,1.5,0,0,0,50%,0%,50%,3,0,3,1.5,0,1.5,1.5,0,1.5,50%,0%,50%,0%,0%,0%,50%,0%,50%,50%,0%,50%,1.68,0,2.18,0.88,0,1.38,0%,0%,0%,4,4,0,0.5,0.5,0,3.5,0,0,50%,50%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0.66,1.16,0,0.93,1.43,0
Arsenal Tula,Yenisey,Rússia - 2ª Divisão da Rússia,"Seg, 05 Agosto 2024",13:00,38%,34%,V V V,V V,V,D D V,D V,D,3,3,3,1,1.5,0,100%,100%,100%,1,1,1,1,1,1,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.14,1.11,1.2,0.79,0.7,0.97,33%,50%,0%,1.67,2,1,0.67,1,0,1,1,1,33%,50%,0%,0%,0%,0%,67%,50%,100%,33%,50%,0%,1.16,1.04,1.38,0.97,1.13,0.65
Semendrija 1924,OFK Vršac,Sérvia - 2ª Divisão da Sérvia,"Seg, 05 Agosto 2024",12:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Borac Čačak,Trajal Krusevac,Sérvia - 2ª Divisão da Sérvia,"Seg, 05 Agosto 2024",14:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
