Home,Away,Liga,Data,Hora,BTTS Liga,2.5FT Liga,Home Geral,Home Casa,Home Fora,Home PPJ Geral,Home PPJ Casa,Home PPJ Fora,Away Geral,Away Casa,Away Fora,Away PPG Geral,Away PPG Casa,Away PPG Fora,Vitoria Home Geral,Vitoria Home Casa,Vitoria Home Fora,Gols Home Geral,Gols Home Casa,Gols Home Fora,Marcados Home Geral,Marcados Home Casa,Marcados Home Fora,Sofridos Home Geral,Sofridos Home Casa,Sofridos Home Fora,BTTS Home Geral,BTTS Home Casa,BTTS Home Fora,Sem Sofrer Home Geral,Sem Sofrer Home Casa,Sem Sofrer Home Fora,Sem Marcar Home Geral,Sem Marcar Home Casa,Sem Marcar Home Fora,Primeiro Marcar Home Geral,Primeiro Marcar Home Casa,Primeiro Marcar Home Fora,xG Home Geral,xG Home Casa,xG Home Fora,xGA Home Geral,xGA Home Casa,xGA Home Fora,Vitoria Away Geral,Vitoria Away Casa,Vitoria Away Fora,Gols Away Geral,Gols Away Casa,Gols Away Fora,Marcados Away Geral,Marcados Away Casa,Marcados Away Fora,Sofridos Away Geral,Sofridos Away Casa,Sofridos Away Fora,BTTS Away Geral,BTTS Away Casa,BTTS Away Fora,Sem Sofrer Away Geral,Sem Sofrer Away Casa,Sem Sofrer Away Fora,Sem Marcar Away Geral,Sem Marcar Away Casa,Sem Marcar Away Fora,Primeiro Marcar Away Geral,Primeiro Marcar Away Casa,Primeiro Marcar Away Fora,xG Away Geral,xG Away Casa,xG Away Fora,xGA Away Geral,xGA Away Casa,xGA Away Fora
Peñarol,The Strongest,América do Sul - Libertadores,"Qua, 14 Agosto 2024",19:00,50%,42%,V V V D V,V V V,V D D,2,3,1,D V V E D,V V V,D E D,1.67,3,0.33,67%,100%,33%,2.83,3.33,2.33,2,3,1,0.83,0.33,1.33,33%,33%,33%,50%,67%,33%,17%,0%,33%,67%,100%,33%,1.44,1.67,1.21,1.03,0.9,1.15,50%,100%,0%,2.33,2.33,2.33,1.33,2.33,0.33,1,2,2,17%,0%,33%,67%,100%,33%,33%,0%,67%,67%,100%,33%,1.11,1.53,0.7,1.82,1.48,2.15
Deportivo Municipal,Deportiva Agropecuaria,Peru - 2ª Divisão do Peru,"Qua, 14 Agosto 2024",19:00,41%,56%,E E E E E,E E E V E,E E V D E,1.43,1.86,1,D V V D E,D V V E V,D V D D V,1.5,1.89,1,29%,43%,14%,2.21,2,2.43,1.14,1.29,1,1.07,0.71,1.43,57%,57%,57%,29%,43%,14%,29%,29%,29%,57%,57%,57%,1.3,1.39,1.19,1.43,1.24,1.65,44%,56%,29%,3.44,3.33,3.57,1.69,2.11,1.14,1.75,2.43,2.43,50%,67%,29%,25%,22%,29%,31%,11%,57%,25%,33%,14%,1.39,1.55,1.33,1.8,1.03,2.11
San Marcos,Ayacucho,Peru - 2ª Divisão do Peru,"Qua, 14 Agosto 2024",19:00,41%,56%,E E E D V,E D V V V,E E V V D,1.94,2.38,1.5,V D D E V,V D E V D,D V D D V,1.63,1.56,1.71,56%,75%,38%,2.88,3.13,2.63,2,2.5,1.5,0.88,0.63,1.13,50%,50%,50%,50%,50%,50%,19%,13%,25%,31%,63%,0%,1.74,2.22,1.49,1.38,1.56,1.29,50%,44%,57%,2.31,1.78,3,1.38,1.11,1.71,0.94,1.29,1.29,44%,22%,71%,38%,44%,29%,25%,44%,0%,50%,44%,57%,1.44,1.56,1.28,0.93,0.76,1.16
Juan Pablo II College,Academia Cantolao,Peru - 2ª Divisão do Peru,"Qua, 14 Agosto 2024",19:00,41%,56%,D E D D D,D D V V V,D E D D V,1.5,1.75,1.25,E D D V D,E D D E D,D V D D V,1.24,1.22,1.25,44%,50%,38%,2.38,2.5,2.25,1.38,1.63,1.13,1,0.88,1.13,31%,38%,25%,38%,38%,38%,44%,38%,50%,31%,50%,13%,1.58,1.83,1.08,1.44,1.45,1.42,35%,33%,38%,2.12,2,2.25,0.94,0.89,1,1.18,1.25,1.25,41%,56%,25%,35%,33%,38%,29%,22%,38%,47%,44%,50%,1.28,1.33,1.22,1.54,1.48,1.63
Molinos El Pirata,Comerciantes,Peru - 2ª Divisão do Peru,"Qua, 14 Agosto 2024",19:00,41%,56%,D V V D E,V V D D V,D V D E D,1.53,1.67,1.44,V V V V E,V V V V E,V E E V V,2.12,2.33,1.88,47%,50%,44%,2.8,2.83,2.78,1.4,1.5,1.33,1.4,1.33,1.44,53%,83%,33%,33%,17%,44%,20%,17%,22%,67%,83%,56%,1.31,1.4,1.23,1.76,1.4,2.13,59%,67%,50%,2.35,2.78,1.88,1.59,2,1.13,0.76,0.75,0.75,53%,56%,50%,41%,44%,38%,12%,0%,25%,71%,89%,50%,1.14,1.14,1.13,0.96,0.47,1.52
Deportivo Binacional,UCV Moquegua,Peru - 2ª Divisão do Peru,"Qua, 14 Agosto 2024",19:00,41%,56%,V D V V V,V V V V V,V D V D D,1.67,2.57,0.88,E D D E D,E D D V D,D E E E D,0.69,0.88,0.5,53%,86%,25%,2.47,2.86,2.13,1.47,2.43,0.63,1,0.43,1.5,20%,14%,25%,60%,86%,38%,27%,0%,50%,53%,86%,25%,1.66,2.11,1.26,1.3,0.99,1.56,13%,25%,0%,2.13,2,2.25,0.75,0.75,0.75,1.38,1.5,1.5,38%,38%,38%,25%,25%,25%,50%,38%,63%,31%,50%,13%,1.18,1.31,1.06,1.5,1.41,1.6
Universidad San Martín,Carlos Stein,Peru - 2ª Divisão do Peru,"Qua, 14 Agosto 2024",19:00,41%,56%,E D E E V,D E E V E,E E V E D,1.13,1,1.25,D D D D D,D D D V D,D D D D D,0.56,0.38,0.75,19%,13%,25%,2.56,2.63,2.5,1.19,1.25,1.13,1.38,1.38,1.38,69%,75%,63%,13%,13%,13%,25%,25%,25%,13%,0%,25%,1.47,1.7,1.24,1.42,1.25,1.59,19%,13%,25%,4.38,4.13,4.63,1.19,1,1.38,3.19,3.25,3.25,50%,50%,50%,19%,13%,25%,31%,38%,25%,19%,25%,13%,1.35,1.43,1.26,2.27,2.17,2.39
RB Bragantino Feminino,Marília Feminino,Brasil - Campeonato Paulista Feminino,"Qua, 14 Agosto 2024",19:00,57%,70%,V V E V V,E V D D,V V V E,1.75,1,2.5,D D D D D,D D D D,D D D D,0,0,0,50%,25%,75%,1.88,2.5,1.25,1.25,1.25,1.25,0.63,1.25,0,25%,50%,0%,63%,25%,100%,25%,25%,25%,63%,50%,75%,1.79,1.84,1.72,1.17,1.22,1.12,0%,0%,0%,5.75,5.5,6,0.5,0.25,0.75,5.25,5.25,5.25,50%,25%,75%,0%,0%,0%,50%,75%,25%,0%,0%,0%,1.19,1.15,1.23,2.22,2.72,1.72
Larne,Finalist 1,Europa -  de Conferência,"Qua, 14 Agosto 2024",19:00,0%,0%,V,,V,0,0,0,,,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Finalist 1,HJK,Europa -  de Conferência,"Qua, 14 Agosto 2024",19:00,0%,0%,,,,0,0,0,V,V,,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Internacional,Juventude,Brasil - Brasileirão Série A,"Qua, 14 Agosto 2024",19:30,54%,45%,E E E D D,E E D D V,E D E E V,1.29,1.25,1.33,V E D D E,V D E E V,E D D D D,1.25,2,0.33,29%,25%,33%,1.88,2.25,1.56,0.94,1.13,0.78,0.94,1.13,0.78,59%,75%,44%,29%,25%,33%,18%,13%,22%,47%,38%,56%,1.35,1.62,1.1,1.18,1.18,1.17,30%,55%,0%,2.55,2.27,2.89,1.2,1.55,0.78,1.35,2.11,2.11,65%,55%,78%,25%,45%,0%,15%,9%,22%,40%,64%,11%,1.28,1.36,1.18,1.63,1.51,1.76
Miami FC,Memphis 901,Estados Unidos - USL Championship,"Qua, 14 Agosto 2024",20:00,51%,49%,D D D D D,D D D E D,D D D D D,0.35,0.54,0.1,D E V D V,E V V V E,D D V D E,1.39,1.75,1,9%,15%,0%,3.39,3.38,3.4,1,1.08,0.9,2.39,2.31,2.5,65%,62%,70%,4%,8%,0%,30%,31%,30%,35%,23%,50%,1.2,1.27,1.1,2.03,2.01,2.04,39%,50%,27%,2.7,2.83,2.55,1.43,1.75,1.09,1.26,1.45,1.45,61%,67%,55%,22%,25%,18%,22%,17%,27%,43%,50%,36%,1.51,1.74,1.26,1.32,1.3,1.33
Forge FC,HFX Wanderers FC,Canadá - Campeonato Canadense,"Qua, 14 Agosto 2024",20:00,56%,56%,V D V E V,V V V E V,D E D E D,1.65,2.44,0.75,D V D V D,V V V E E,D D D V E,1,1.5,0.5,47%,78%,13%,3.12,3.33,2.88,1.82,2.33,1.25,1.29,1,1.63,59%,67%,50%,29%,33%,25%,18%,0%,38%,41%,56%,25%,1.65,1.66,1.65,1.24,1.19,1.3,25%,38%,13%,3,2.88,3.13,1.38,1.5,1.25,1.63,1.88,1.88,63%,75%,50%,19%,25%,13%,25%,13%,38%,19%,13%,25%,1.45,1.45,1.44,1.27,1.27,1.27
Academia Puerto Cabello,Deportivo La Guaira,Venezuela - Campeonato Venezuelano,"Qua, 14 Agosto 2024",20:45,52%,43%,D E D D V,E V D E D,D D D E E,1.23,1.6,0.92,V E E V V,V E V D D,E V D V E,1.55,1.5,1.6,27%,40%,17%,2,2.7,1.42,1,1.5,0.58,1,1.2,0.83,50%,60%,42%,36%,30%,42%,32%,20%,42%,55%,70%,42%,1.43,1.47,1.4,1.3,1.34,1.27,41%,42%,40%,2.23,2.08,2.4,1.14,1,1.3,1.09,1.1,1.1,59%,50%,70%,27%,33%,20%,32%,42%,20%,45%,42%,50%,1.57,1.61,1.5,1.45,1.38,1.55
Forward Madison,Charlotte Independence,Estados Unidos - USL League One,"Qua, 14 Agosto 2024",21:00,60%,57%,E D V D V,D V V E V,E D V V E,1.77,2,1.5,E V V V D,E V E D V,V V V D V,1.85,1.57,2.17,46%,57%,33%,2.69,2.86,2.5,1.77,1.86,1.67,0.92,1,0.83,54%,57%,50%,38%,29%,50%,23%,29%,17%,69%,71%,67%,1.42,1.37,1.47,1.2,1.08,1.34,54%,43%,67%,3.15,3.71,2.5,1.77,1.86,1.67,1.38,0.83,0.83,62%,86%,33%,31%,14%,50%,15%,0%,33%,54%,57%,50%,1.5,1.6,1.37,1.7,1.69,1.72
Botafogo,Palmeiras,América do Sul - Libertadores,"Qua, 14 Agosto 2024",21:30,50%,42%,E V V V D,V V D V V,E V D E E,1.8,2.4,1.2,E V V V V,E V V,V V E,2.33,2.33,2.33,50%,80%,20%,2.6,4,1.2,1.7,2.8,0.6,0.9,1.2,0.6,60%,80%,40%,30%,20%,40%,20%,0%,40%,70%,80%,60%,1.23,1.57,0.9,1.22,0.93,1.51,67%,67%,67%,3.17,2.33,4,2.33,1.67,3,0.83,1,1,67%,67%,67%,33%,33%,33%,17%,33%,0%,33%,33%,33%,1.51,1.54,1.47,1.19,0.94,1.44
Talleres,River Plate,América do Sul - Libertadores,"Qua, 14 Agosto 2024",21:30,50%,42%,D V V V E,V V V,D V E,2.17,3,1.33,V V E V V,V V V,E V V,2.67,3,2.33,67%,100%,33%,2.67,2.67,2.67,1.67,2,1.33,1,0.67,1.33,50%,67%,33%,33%,33%,33%,17%,0%,33%,67%,100%,33%,1.44,1.35,1.52,1.18,1.05,1.29,83%,100%,67%,2.5,2,3,2,2,2,0.5,1,1,33%,0%,67%,67%,100%,33%,0%,0%,0%,100%,100%,100%,2.07,2.39,1.75,0.93,0.62,1.23
Palestino,Independiente Medellín,América do Sul - Sul-Americana,"Qua, 14 Agosto 2024",21:30,41%,43%,V E,E,V,2,1,3,V E V V V,V V V,E V D E,2,3,1.25,50%,0%,100%,2.5,2,3,1.5,1,2,1,1,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,100%,1.02,1.08,0.96,1.3,0.6,1.99,57%,100%,25%,3.29,4.33,2.5,2.29,3.33,1.5,1,1,1,57%,67%,50%,29%,33%,25%,29%,0%,50%,71%,100%,50%,1.31,1.56,1.12,1.4,1.26,1.5
LDU,Lanús,América do Sul - Sul-Americana,"Qua, 14 Agosto 2024",21:30,41%,43%,D V,V,D,1.5,3,0,D V V V V,D V V,V V E,2.17,2,2.33,50%,100%,0%,3.5,3,4,2,3,1,1.5,0,3,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,1.15,1.36,0.95,1.43,0.64,2.21,67%,67%,67%,2.5,3,2,2,2.33,1.67,0.5,0.33,0.33,33%,33%,33%,50%,33%,67%,17%,33%,0%,67%,67%,67%,1.71,2.23,1.19,1.22,0.88,1.56
New Mexico United,Tulsa Roughnecks,Estados Unidos - USL Championship,"Qua, 14 Agosto 2024",22:00,51%,49%,V D D V E,D D E V V,V V V D D,1.95,2.2,1.73,E V E V E,E E V E V,V E D D D,1.3,1.4,1.2,62%,70%,55%,2.67,2.2,3.09,1.43,1.4,1.45,1.24,0.8,1.64,57%,50%,64%,24%,40%,9%,19%,10%,27%,57%,70%,45%,1.47,1.45,1.49,1.48,1.37,1.59,30%,30%,30%,2.4,2.3,2.5,1.05,1.1,1,1.35,1.5,1.5,45%,50%,40%,30%,40%,20%,45%,40%,50%,35%,40%,30%,1.32,1.43,1.21,1.53,1.41,1.65
Sacramento Republic,El Paso Locomotive,Estados Unidos - USL Championship,"Qua, 14 Agosto 2024",23:30,51%,49%,D D V V E,D E D V D,D V V E V,1.59,1.18,2,V E D D D,V D D E D,E D D D V,0.73,0.45,1,41%,27%,55%,2.27,1.82,2.73,1.36,0.91,1.82,0.91,0.91,0.91,41%,36%,45%,45%,36%,55%,27%,45%,9%,59%,45%,73%,1.46,1.57,1.35,1.28,1.21,1.37,18%,9%,27%,2.32,2.45,2.18,0.82,0.82,0.82,1.5,1.36,1.36,50%,64%,36%,14%,0%,27%,41%,36%,45%,45%,45%,45%,1.25,1.41,1.09,1.54,1.54,1.54
Capo,LA Force,USA - NISA,"Qua, 14 Agosto 2024",23:45,53%,60%,D V V D D,V V D D D,D D V E V,1.25,1.17,1.33,V V E V V,V E V V V,V D V V,2.17,2.13,2.25,33%,33%,33%,2.83,2.5,3.17,1.25,1,1.5,1.58,1.5,1.67,50%,33%,67%,17%,17%,17%,33%,50%,17%,50%,50%,50%,1.13,1,1.27,1.61,1.71,1.5,67%,63%,75%,2.83,3,2.5,2.08,2.13,2,0.75,0.5,0.5,33%,38%,25%,50%,50%,50%,17%,13%,25%,58%,63%,50%,1.31,1.2,1.58,0.96,1.07,0.67
